Time,CompletionTime,SpatialError,AZIndex,IIndex,distance,boxSize,Action
29.54266,0,0,0,0,0,0,36,31,32,45
32.05445,1533.386,1.275,0,7,4,3,
33.97452,1186.705,0,0,6,3,5,
35.44124,706.691,0.902,0,0,1,3,
37.17464,1053.371,0,1,1,2,4,
57.6377,0,0,1,1,2,4,71,32,51,71
61.0288,1613.391,0.32,2,4,4,3,
63.36222,1293.377,0.349,0,3,2,4,
64.76227,693.358,0.669,1,0,1,3,
67.00235,1546.721,0,0,7,3,5,
78.75681,0,0,0,7,3,5,32,55,28,33
80.48282,813.366,0.257,1,4,1,3,
82.30955,1026.704,0,1,4,2,4,
84.54963,1320.043,0,2,4,3,5,
87.13638,1413.383,1.169,0,1,4,3,
96.00691,0,0,0,1,4,3,61,30,64,69
98.20344,1253.383,0,0,0,2,4,
99.8435,1000.037,0.954,1,7,3,5,
101.4169,800.026,0,1,5,1,3,
106.9504,1666.721,0,2,2,4,3,
