Time,CompletionTime,SpatialError,AZIndex,IIndex,distance,boxSize,Action
4.652108,0,0,2,4,2,3,89,26,78,92
7.013579,1400.049,0,2,4,2,3,
9.05365,1186.708,1.042,1,5,3,4,
11.13372,1266.712,0,0,6,2,5,
13.90715,1493.386,5.551,1,1,4,3,
15.76055,786.694,0.15,1,3,1,3,
19.73402,1533.385,1.112,2,4,4,5,
22.57412,1666.725,0,1,6,3,3,
26.73427,1840.065,0,2,2,4,5,
29.4677,1666.724,0.708,0,1,4,5,
31.78778,1306.71,0.681,1,5,3,5,
33.98786,1253.379,0.122,0,4,3,4,
36.94796,1413.382,0.095,1,2,3,3,
39.53472,1600.057,1.569,1,2,4,3,
41.32145,800.028,0,0,6,1,5,
45.54826,1760.064,0,2,5,4,3,
49.44173,1706.727,0.03,1,2,4,4,
51.53514,1106.704,0,1,3,2,4,
53.16186,746.694,0.409,1,4,1,4,
54.68192,720.025,0,0,1,1,4,
56.52198,1093.371,0,0,0,2,4,
58.38871,1053.366,0,2,0,2,5,
62.08217,1373.379,0,2,6,3,3,
64.36225,1333.376,0,0,7,3,4,
65.96231,746.698,0,1,4,1,5,
68.85574,1653.392,0,1,1,4,4,
70.5358,746.695,0.318,2,0,1,4,
72.04253,786.698,0,2,7,1,5,
74.14926,1293.371,0,0,1,2,4,
75.65598,760.022,0.644,0,3,1,3,
77.70939,1346.717,2.822,1,0,4,4,
80.81616,1320.045,0,2,2,2,5,
82.93624,1266.718,0.414,1,4,3,5,
85.21632,1173.371,0,0,1,2,3,
86.86971,800.026,0.68,1,3,1,3,
89.72314,1226.715,0,2,1,3,5,
91.85655,1213.38,0,1,7,2,3,
